,Date,Close
758,2023-01-05,22.46
759,2023-01-06,21.13
760,2023-01-09,21.97
761,2023-01-10,20.58
762,2023-01-11,21.09
763,2023-01-12,18.83
764,2023-01-13,18.35
765,2023-01-17,19.36
766,2023-01-18,20.34
767,2023-01-19,20.52
768,2023-01-20,19.85
769,2023-01-23,19.81
770,2023-01-24,19.2
771,2023-01-25,19.08
772,2023-01-26,18.73
773,2023-01-27,18.51
774,2023-01-30,19.94
775,2023-01-31,19.4
776,2023-02-01,17.87
777,2023-02-02,18.73
778,2023-02-03,18.33
779,2023-02-06,19.43
780,2023-02-07,18.66
781,2023-02-08,19.63
782,2023-02-09,20.71
783,2023-02-10,20.53
784,2023-02-13,20.34
785,2023-02-14,18.91
786,2023-02-15,18.23
787,2023-02-16,20.17
788,2023-02-17,20.02
789,2023-02-21,22.87
790,2023-02-22,22.29
791,2023-02-23,21.14
792,2023-02-24,21.67
793,2023-02-27,20.95
794,2023-02-28,20.7
795,2023-03-01,20.58
796,2023-03-02,19.59
797,2023-03-03,18.49
798,2023-03-06,18.61
799,2023-03-07,19.59
800,2023-03-08,19.11
801,2023-03-09,22.61
802,2023-03-10,24.8
803,2023-03-13,26.52
804,2023-03-14,23.73
805,2023-03-15,26.14
806,2023-03-16,22.99
807,2023-03-17,25.51
808,2023-03-20,24.15
809,2023-03-21,21.38
810,2023-03-22,22.26
811,2023-03-23,22.61
812,2023-03-24,21.74
813,2023-03-27,20.6
814,2023-03-28,19.97
815,2023-03-29,19.12
816,2023-03-30,19.02
817,2023-03-31,18.7
818,2023-04-03,18.55
819,2023-04-04,19.0
820,2023-04-05,19.08
821,2023-04-06,18.4
822,2023-04-10,18.97
823,2023-04-11,19.1
824,2023-04-12,19.09
825,2023-04-13,17.8
826,2023-04-14,17.07
827,2023-04-17,16.95
828,2023-04-18,16.83
829,2023-04-19,16.46
830,2023-04-20,17.17
831,2023-04-21,16.77
832,2023-04-24,16.89
833,2023-04-25,18.76
834,2023-04-26,18.84
835,2023-04-27,17.03
836,2023-04-28,15.78
837,2023-05-01,16.08
838,2023-05-02,17.78
839,2023-05-03,18.34
840,2023-05-04,20.09
841,2023-05-05,17.19
842,2023-05-08,16.98
843,2023-05-09,17.71
844,2023-05-10,16.94
845,2023-05-11,16.93
846,2023-05-12,17.03
847,2023-05-15,17.12
848,2023-05-16,17.99
849,2023-05-17,16.87
850,2023-05-18,16.05
851,2023-05-19,16.81
852,2023-05-22,17.21
853,2023-05-23,18.53
854,2023-05-24,20.03
855,2023-05-25,19.14
856,2023-05-26,17.95
857,2023-05-30,17.46
858,2023-05-31,17.94
859,2023-06-01,15.65
860,2023-06-02,14.6
861,2023-06-05,14.73
862,2023-06-06,13.96
863,2023-06-07,13.94
864,2023-06-08,13.65
865,2023-06-09,13.83
866,2023-06-12,15.01
867,2023-06-13,14.61
